Date,Cas_journalier,Mort_cumuler,day_count
2020-04-04,6,0,1
2020-04-05,2,0,2
2020-04-07,3,0,3
2020-04-10,6,0,4
2020-04-12,2,0,5
2020-04-16,1,0,6
2020-04-17,3,0,7
2020-04-18,1,0,8
2020-04-25,1,0,9
2020-04-26,1,0,10
2020-05-02,2,0,11
2020-05-03,8,0,12
2020-05-06,6,0,13
2020-05-07,9,0,14
2020-05-09,5,0,15
2020-05-10,2,0,16
2020-05-11,11,0,17
2020-05-12,6,0,18
2020-05-13,15,0,19
2020-05-14,5,0,20
2020-05-15,8,0,21
2020-05-16,19,0,22
2020-05-17,6,1,23
2020-05-18,17,1,24
2020-05-19,2,2,25
2020-05-20,42,3,26
2020-05-21,24,3,27
2020-05-22,38,3,28
2020-05-23,40,3,29
2020-05-24,20,3,30
2020-05-25,11,3,31
2020-05-26,20,3,32
2020-05-27,17,3,33
2020-05-28,29,3,34
2020-05-29,39,6,35
2020-05-30,27,7,36
2020-05-31,2,7,37
2020-06-01,23,7,38
2020-06-02,5,7,39
2020-06-03,33,7,40
2020-06-04,28,7,41
2020-06-05,7,7,42
2020-06-06,22,8,43
2020-06-07,11,9,44
2020-06-08,42,9,45
2020-06-09,40,9,46
2020-06-10,24,10,47
2020-06-11,22,10,48
2020-06-13,10,10,49
2020-06-14,5,10,50
2020-06-15,6,10,51
2020-06-16,1,10,52
2020-06-17,2,10,53
2020-06-18,17,10,54
2020-06-19,17,10,55
2020-06-20,4,10,56
2020-06-21,21,11,57
2020-06-23,1,11,58
2020-06-24,3,11,59
2020-06-27,2,11,60
2020-06-30,1,11,61
2020-07-04,2,11,62
2020-07-05,4,11,63
2020-07-06,2,11,64
2020-07-07,1,11,65
2020-07-08,2,11,66
2020-07-13,1,11,67
2020-07-14,1,11,68
2020-07-15,2,11,69
2020-07-16,0,12,70
2020-07-17,1,12,71
2020-07-18,9,12,72
2020-07-19,6,12,73
2020-07-21,1,12,74
2020-07-23,2,12,75
2020-07-24,2,12,76
2020-07-26,1,12,77
2020-07-28,4,13,78
2020-07-29,3,13,79
2020-07-30,2,13,80
2020-07-31,1,13,81
2020-08-01,3,13,82
2020-08-02,2,13,83
2020-08-03,1,13,84
2020-08-04,1,13,85
2020-08-06,1,13,86
2020-08-07,1,14,87
2020-08-08,1,14,88
2020-08-11,1,14,89
2020-08-12,1,14,90
2020-08-14,0,14,91
2020-08-18,3,14,92
2020-08-19,1,14,93
2020-08-20,0,14,94
2020-08-21,1,14,95
2020-08-22,1,14,96
2020-08-25,1,14,97
2020-08-26,3,14,98
2020-08-27,1,14,99
2020-08-29,1,14,100
2020-09-01,0,14,101
2020-09-02,3,14,102
2020-09-04,3,14,103
